wii	In representations of various accents: with.
vegetarian entree Abby's treasure	a person who does not eat meat or fish, and sometimes other animal products, especially for moral, religious, or health reasons. [SEP] the main course of a meal. the right to enter or join a particular sphere or group [SEP] a woman who is the head of an abbey of nuns. [SEP] a quantity of precious metals, gems, or other valuable objects
Steak au Poivre	steak coated liberally with crushed peppercorns before cooking.
chow fun and chow see	food a dog of a sturdy Chinese breed with a broad muzzle, a tail curled over the back, a bluish-black tongue, and typically a dense thick coat. [SEP] enjoyment, amusement, or light-hearted pleasure [SEP] used to connect words of the same part of speech, clauses, or sentences, that are to be taken jointly used to introduce an additional comment or interjection used after some verbs and before another verb to indicate intention, instead of ‘to’ [SEP] food a dog of a sturdy Chinese breed with a broad muzzle, a tail curled over the back, a bluish-black tongue, and typically a dense thick coat. [SE
pita	pain in the arse.
grilled cheese	= grilled cheese sandwich.
terrace	a level paved area next to a building; a patio each of a series of flat areas made on a slope, used for cultivation. a row of houses built in one block in a uniform style
Japanese cuisine	relating to Japan or its language, culture, or people. [SEP] a style or method of cooking, especially as characteristic of a particular country, region, or establishment
Jazz bands	a group of musicians who play jazz
japanese comfort food	relating to Japan or its language, culture, or people. [SEP] a state of physical ease and freedom from pain or constraint the easing or alleviation of a person's feelings of grief or distress a warm quilt. [SEP] any nutritious substance that people or animals eat or drink or that plants absorb in order to maintain life and growth
half price sushi deal	either of two equal or corresponding parts into which something is or can be divided [SEP] the amount of money expected, required, or given in payment for something an unwelcome experience or action undergone or done as a condition of achieving an objective [SEP] a Japanese dish consisting of small balls or rolls of vinegar-flavoured cold rice served with a garnish of vegetables, egg, or raw seafood. [SEP] distribute (cards) in an orderly rotation to players for a game or round take part in commercial trading of a particular commodity take measures concerning (someone or something), especially
appetizer platter	a small dish of food or a drink taken before a meal or the main course of a meal to stimulate one's appetite [SEP] a large flat dish or plate for serving food the rotating metal disc forming the turntable of a record player.
dress codes	a set of rules specifying the required manner of dress at a particular office, club, event, etc.
Neapolitan pizza	a native or inhabitant of Naples. [SEP] a dish of Italian origin, consisting of a flat round base of dough baked with a topping of tomatoes and cheese, typically with added meat, fish, or vegetables
Wait staff	waiters and waitresses collectively
Vietnamese classics	relating to Vietnam, its people, or their language. [SEP] judged over a period of time to be of the highest quality and outstanding of its kind very typical of its kind
fish tanks	a transparent container of water in which live fish and other water creatures and plants are kept; an aquarium
beef	the flesh of a cow, bull, or ox, used as food flesh with well-developed muscle a complaint or grievance a criminal charge
Chicken Teriyaki dish	a domestic fowl kept for its eggs or meat, especially a young one a cowardly person; a coward. [SEP] a Japanese dish consisting of fish or meat marinated in soy sauce and grilled. [SEP] a shallow, flat-bottomed container for cooking or serving food a shallow, concave receptacle, especially one intended to hold a particular substance a sexually attractive person information which is not generally known or available concavity of a spoked wheel resulting from a difference in spoke tension on each side and consequent sideways displacement of the rim in relation to the hub.
Pam's special fried fish	More fully "ram's head lady slipper", "ram's head lady's slipper". A North American lady's slipper orchid, Cypripedium arietinum. = ram-head. In a narrowboat: the tiller or rudder post; the steering column of a motor. [SEP] better, greater, or otherwise different from what is usual belonging specifically to a particular person or place denoting a group consisting of matrices of unit determinant. [SEP] a limbless cold-blooded vertebrate animal with gills and fins living wholly in water a person who is strange in a specified way
New England Chowder	produced, introduced, or discovered recently or now for the first time; not existing before already existing but seen, experienced, or acquired recently or now for the first time beginning anew and in a transformed way [SEP] a country forming the largest and southernmost part of Great Britain and of the United Kingdom, and containing the capital, London; population 51,446,000 (est. 2008). [SEP] a rich soup typically containing fish, clams, or corn with potatoes and onions
wines by the glass	an alcoholic drink made from fermented grape juice [SEP] identifying the agent performing an action. indicating the means of achieving something indicating the amount or size of a margin indicating a deadline or the end of a particular time period indicating location of a physical object beside a place or object indicating the period in which something happens concerning; according to used in mild oaths [SEP] denoting one or more people or things already mentioned or assumed to be common knowledge. used to point forward to a following qualifying or defining clause or phrase used to make a gene
duck breast special	a waterbird with a broad blunt bill, short legs, webbed feet, and a waddling gait. a pure white thin-shelled bivalve mollusc found off the Atlantic coasts of America. an amphibious transport vehicle [SEP] either of the two soft, protruding organs on the upper front of a woman's body which secrete milk after childbirth a person's chest, especially when regarded as the seat of the emotions [SEP] better, greater, or otherwise different from what is usual belonging specifically to a particular person or place denoting a group consisting of matrices of unit determinant.
french indian fusion	relating to France or its people or language [SEP] relating to India or its people, customs, or languages relating to or denoting indigenous peoples of North, Central, and South America, especially those of North America [SEP] the process or result of joining two or more things together to form a single entity
fried shrimp	a small free-swimming crustacean with an elongated body, typically marine and frequently of commercial importance as food. a small, physically weak person
green curry	Any of various curry dishes having a green colour; (now) specifically a type of Thai curry which takes its colour from a seasoning mixture containing green chillies.
yellowfun tuna	a widely distributed, commercially important tuna that has yellow anal and dorsal fins. [SEP] a large and active predatory schooling fish of warm seas, extensively fished commercially and popular as a game fish.
dinner reservations	the main meal of the day, taken either around midday or in the evening [SEP] the action of reserving something an expression of doubt qualifying overall approval of a plan or statement an area of land set aside for occupation by North American Indians or Australian Aboriginal people a right or interest retained in an estate being conveyed (in the Roman Catholic Church) the action of a superior of reserving to himself the power of absolution.
Cheese plate	A small plate used for cheese at the end of a meal; (also in extended use) a large, flat button resembling such a plate (more fully "cheese-plate button") (obsolete). A large plate on which cheese is served; a selection of cheeses served alone or as part of a meal.
glasses of water	a pair of lenses set in a frame resting on the nose and ears, used to correct or assist defective eyesight. [SEP] expressing the relationship between a part and a whole. expressing the relationship between a scale or measure and a value indicating an association between two entities, typically one of belonging, in which the first is the head of the phrase and the second is something associated with it expressing the relationship between a direction and a point of reference expressing the relationship between a general category or type and the thing being specified which belongs to such a categ
sandwich	an item of food consisting of two pieces of bread with a filling between them, eaten as a light meal relating to a sandwich course
cocktails	an alcoholic drink consisting of a spirit or spirits mixed with other ingredients, such as fruit juice or cream a dish consisting of small pieces of food, typically served cold as a starter
buffet	a meal consisting of several dishes from which guests serve themselves a room or counter in a station, hotel, or other public building selling light meals or snacks. a cabinet with shelves and drawers for keeping dinnerware and table linens; a sideboard.
chocolate	a food in the form of a paste or solid block made from roasted and ground cacao seeds, typically sweetened and eaten as confectionery
SHOWS	allow or cause (something) to be visible allow (a quality or emotion) to be perceived; display demonstrate or prove finish third or in the first three in a race
New York Bagel	produced, introduced, or discovered recently or now for the first time; not existing before already existing but seen, experienced, or acquired recently or now for the first time beginning anew and in a transformed way [SEP] (of a bowler) bowl out (a batter) with a ball that pitches under the bat [SEP] a dense bread roll in the shape of a ring, made by boiling dough and then baking it
miso soup	A soup thickened with miso, frequently with added tofu or vegetables.
filets	not found
quail	a small short-tailed Old World game bird resembling a tiny partridge, typically having brown camouflaged plumage. a small or medium-sized New World game bird, the male of which has distinctive facial markings.
zucchini	the immature fruit of a vegetable marrow; a courgette.
Spicy Scallop roll	flavoured with or fragrant with spice exciting or entertaining, especially through being mildly indecent [SEP] move in a particular direction by turning over and over on an axis (of a vehicle) move or run on wheels turn (something flexible) over and over on itself to form a cylinder, tube, or ball flatten (something) by passing a roller over it or by passing it between rollers (of a loud, deep sound) reverberate rob (someone, typically when they are intoxicated or asleep)
Indian dining experience	relating to India or its people, customs, or languages relating to or denoting indigenous peoples of North, Central, and South America, especially those of North America [SEP] the activity of eating a meal [SEP] practical contact with and observation of facts or events an event or occurrence which leaves an impression on someone
workers	legislation that provides for financial compensation for employees injured at work
chocolate mud cake (warmed)	a food in the form of a paste or solid block made from roasted and ground cacao seeds, typically sweetened and eaten as confectionery [SEP] soft, sticky matter resulting from the mixing of earth and water information or allegations regarded as damaging or scandalous [SEP] an item of soft sweet food made from a mixture of flour, fat, eggs, sugar, and other ingredients, baked and sometimes iced or decorated an item of savoury food formed into a flat round shape, and typically baked or fried [SEP] (of food or drink) reheated (of an idea or product) not new or original
stauff	not found
classical furniture	relating to ancient Greek or Latin literature, art, or culture representing an exemplary standard within a traditional and long-established form or style [SEP] the movable articles that are used to make a room or building suitable for living or working in, such as tables, chairs, or desks. the small accessories or fittings that are required for a particular task or function
cole slaw	a salad dish of shredded raw cabbage, carrots, and other vegetables mixed with mayonnaise.
blond wood decor	strawberry blond. [SEP] the hard fibrous material that forms the main substance of the trunk or branches of a tree or shrub, used for fuel or timber an area of land, smaller than a forest, that is covered with growing trees [SEP] the furnishing and decoration of a room
money	a current medium of exchange in the form of coins and banknotes; coins and banknotes collectively
Pad Se-Ew	a person regarded as bad or corrupt by nature and liable to have a harmful influence on other people
French bistro fare	relating to France or its people or language [SEP] a small, inexpensive restaurant. [SEP] the money paid for a journey on public transport a range of food of a particular type
Shabu-Shabu	a Japanese dish of pieces of thinly sliced beef or pork cooked quickly with vegetables in boiling water and then dipped in sauce.
crackling calamari salad	the crisp fatty skin of roast pork. attractive women regarded collectively as objects of sexual desire. [SEP] squid served as food. [SEP] a cold dish of various mixtures of raw or cooked vegetables, usually seasoned with oil, vinegar, or other dressing and sometimes accompanied by meat, fish, or other ingredients
sushi place	a Japanese dish consisting of small balls or rolls of vinegar-flavoured cold rice served with a garnish of vegetables, egg, or raw seafood. [SEP] a particular position, point, or area in space; a location a portion of space designated or available for or being used by someone a position in a sequence or series, typically one ordered on the basis of merit a square or short street
group dinner	a highly active faction within a party or movement that presses for stronger action on a particular issue.
Thai ice tea	relating to Thailand, its people, or their language. [SEP] internal combustion engine. [SEP] a hot drink made by infusing the dried crushed leaves of the tea plant in boiling water the evergreen shrub or small tree which produces tea leaves, native to southern and eastern Asia and grown as a major cash crop. a light afternoon meal consisting typically of tea to drink, sandwiches, and cakes secret information or rumours of a scandalous nature; gossip
guy	a man a figure representing Guy Fawkes, burnt on a bonfire on Guy Fawkes Night, and often displayed by children begging for money for fireworks.
roofdeck	An upper deck on a ship, providing shelter for a promenade or other deck below. A deck-like structure designed as a recreational space on or near the roof of a building.
beer	an alcoholic drink made from yeast-fermented malt flavoured with hops
noodles	a SE Asian dish of stir-fried rice noodles, vegetables, and meat, seafood, or tofu, served with a spicy sauce
Chicken Tikka Masala	a domestic fowl kept for its eggs or meat, especially a young one a cowardly person; a coward. [SEP] an Indian dish of small pieces of meat or vegetables marinated in a spice mixture [SEP] a mixture of ground spices used in Indian cooking.
kitchen	a room or area where food is prepared and cooked. the percussion section of an orchestra. (of a language) in an uneducated or domestic form
plain slice	not decorated or elaborate; simple or basic in character having no pretensions; not remarkable or special easy to perceive or understand; clear (of a person) not beautiful or attractive sheer; simple (used for emphasis) denoting or relating to a type of knitting stitch produced by putting the needle through the front of each stitch from left to right. [SEP] a thin, broad piece of food, such as bread, meat, or cake, cut from a larger portion a utensil with a broad, flat blade for lifting foods such as cake and fish. a stroke that makes the ball curve away to the right (for a left-handed player,
tea room	a small restaurant or cafe where tea and other light refreshments are served. a shop selling sweets, cigarettes, newspapers, and perishable goods. a public restroom used as a meeting place for homosexual encounters.
apppetizers	a small dish of food or a drink taken before a meal or the main course of a meal to stimulate one's appetite
selection of wine	the action or fact of carefully choosing someone or something as being the best or most suitable a process in which environmental or genetic influences determine which types of organism thrive better than others, regarded as a factor in evolution the action of choosing and acquiring plots of land for small farming on terms favourable to the buyer [SEP] expressing the relationship between a part and a whole. expressing the relationship between a scale or measure and a value indicating an association between two entities, typically one of belonging, in which the first is the head of the phrase a
sushi bar	a Japanese dish consisting of small balls or rolls of vinegar-flavoured cold rice served with a garnish of vegetables, egg, or raw seafood. [SEP] a long rigid piece of wood, metal, or similar material, typically used as an obstruction, fastening, or weapon a counter in a pub, restaurant, or cafe across which drinks or refreshments are served a barrier or restriction to an action or advance any of the short sections or measures, typically of equal time value, into which a piece of music is divided, shown on a score by vertical lines across the stave a partition in a court room, now usually noti
black cod with yuzu sauce	of the very darkest colour owing to the absence of or complete absorption of light; the opposite of white belonging to or denoting a human group having dark-coloured skin, especially of sub-Saharan African ancestry. characterized by tragic or disastrous events; causing despair or pessimism denoting a covert military procedure (of goods or work) not to be handled or undertaken by trade union members, especially so as to express support for an industrial dispute elsewhere [SEP] a large marine fish with a small barbel on the chin. [SEP] accompanied by (another person or thing) having or possessin
sicilian	relating to the Italian island of Sicily or its people
Downstairs lounge	down a flight of stairs [SEP] lie, sit, or stand in a relaxed or lazy way
menu prices	(Especially in the motor vehicle business) a system whereby repairs and services are offered at a fixed price, rather than the cost being subject to estimate.
prix fixe meal	any of a series of motor-racing or motorcycling contests forming part of a world championship series, held in various countries under international rules. [SEP] an idea or desire that dominates the mind; an obsession. [SEP] any of the regular occasions in a day when a reasonably large amount of food is eaten
expresso	a type of strong black coffee made by forcing steam through ground coffee beans
thai popcorn	relating to Thailand, its people, or their language. [SEP] maize of a variety with hard kernels that swell up and burst open when heated
parathas	(in Indian cooking) a flat, thick piece of unleavened bread fried on a griddle.
tuna	a large and active predatory schooling fish of warm seas, extensively fished commercially and popular as a game fish.
coat check girls	an outer garment with sleeves, worn outdoors and typically extending below the hips an animal's covering of fur or hair an outer layer or covering [SEP] examine (something) in order to determine its accuracy, quality, or condition, or to detect the presence of something stop or slow the progress of (something, typically something undesirable) (of a passenger) consign (baggage) to the care of the transport provider with whom they are travelling mark or click on (a box) in order to select a particular option on a form, questionnaire, etc. move a piece or pawn to a square where it attacks (the op
area	a region or part of a town, a country, or the world the extent or measurement of a surface or piece of land a subject or range of activity or interest a sunken enclosure giving access to the basement of a building
tanks	not found
Halibut	a northern marine fish which is the largest of the flatfishes and important as a food fish.
chicken casserole	a domestic fowl kept for its eggs or meat, especially a young one a cowardly person; a coward. [SEP] a kind of stew that is cooked slowly in an oven
mezzanine	a low storey between two others in a building, typically between the ground and first floors
Valentines Day dinner	a card sent, often anonymously, on St Valentine's Day, 14 February, to a person one loves or is attracted to. [SEP] each of the twenty-four-hour periods, reckoned from one midnight to the next, into which a week, month, or year is divided, and corresponding to a rotation of the earth on its axis a particular period of the past; an era [SEP] the main meal of the day, taken either around midday or in the evening
jelly fish	a free-swimming marine coelenterate with a gelatinous bell- or saucer-shaped body that is typically transparent and has stinging tentacles around the edge. a feeble person.
box wine	Wine packaged in a plastic or foil pouch with a spigot, inside a sturdy cardboard box.
pesto pizza	a sauce of crushed basil leaves, pine nuts, garlic, Parmesan cheese, and olive oil, typically served with pasta. [SEP] a dish of Italian origin, consisting of a flat round base of dough baked with a topping of tomatoes and cheese, typically with added meat, fish, or vegetables
shrimp appetizer	a small free-swimming crustacean with an elongated body, typically marine and frequently of commercial importance as food. a small, physically weak person [SEP] a small dish of food or a drink taken before a meal or the main course of a meal to stimulate one's appetite
dinners	the main meal of the day, taken either around midday or in the evening
spices	an aromatic or pungent vegetable substance used to flavour food, e.g. cloves, pepper, or cumin a russet or ginger colour. sweets; confectionery. a type of synthetic cannabis
primi	That is in its prime; indicative of (a person's) prime.
employees	a person employed for wages or salary, especially at non-executive level
Sichuan chef	a province of west central China; capital, Chengdu. [SEP] a professional cook, typically the chief cook in a restaurant or hotel.
patio	a paved outdoor area adjoining a house
Pastrami	highly seasoned smoked beef, typically served in thin slices.
Butter	a pale yellow edible fatty substance made by churning cream and used as a spread or in cooking.
private room	(In a club, hotel, etc.) a room which may be hired for private use; (in a hospital) a room which affords privacy for a patient, especially such a room provided on a fee-paying basis.
pre-fixe menu	Performed or occurring before programme material is faded up for transmission; (of equipment) used for monitoring material played at this time. [SEP] a list of dishes available in a restaurant
Pakistani food	relating to Pakistan or its people [SEP] any nutritious substance that people or animals eat or drink or that plants absorb in order to maintain life and growth
eggplant parmesan	the purple egg-shaped fruit of a tropical Old World plant, which is eaten as a vegetable; an aubergine. the large plant of the nightshade family which bears aubergines.
cheese fondue	a sofa with a backrest at only one end.
Thai noodles with shrimp and chicken and coconut juice	relating to Thailand, its people, or their language. [SEP] a SE Asian dish of stir-fried rice noodles, vegetables, and meat, seafood, or tofu, served with a spicy sauce [SEP] accompanied by (another person or thing) having or possessing (something) indicating the instrument used to perform an action in opposition to indicating the manner or attitude in which a person does something indicating responsibility in relation to employed by in the same direction as indicating separation or removal from something [SEP] a small free-swimming crustacean with an elongated body, typically marine and frequ
Kosher dills	A doctor; (US, Military) a member of the medical corps, a medical orderly.
mayonaisse	a thick creamy dressing consisting of egg yolks beaten with oil and vinegar and seasoned
special	better, greater, or otherwise different from what is usual belonging specifically to a particular person or place denoting a group consisting of matrices of unit determinant.
iced tea	a chilled drink of sweetened tea without milk, typically flavoured with lemon.
servings	a quantity of food suitable for or served to one person
Obv caviar	obviously [SEP] the pickled roe of sturgeon or other large fish, eaten as a delicacy.
Tuna roll	a large and active predatory schooling fish of warm seas, extensively fished commercially and popular as a game fish. [SEP] move in a particular direction by turning over and over on an axis (of a vehicle) move or run on wheels turn (something flexible) over and over on itself to form a cylinder, tube, or ball flatten (something) by passing a roller over it or by passing it between rollers (of a loud, deep sound) reverberate rob (someone, typically when they are intoxicated or asleep)
comfort food	food that provides consolation or a feeling of well-being, typically having a high sugar or carbohydrate content and associated with childhood or home cooking.
pastrami sandwich	highly seasoned smoked beef, typically served in thin slices. [SEP] an item of food consisting of two pieces of bread with a filling between them, eaten as a light meal relating to a sandwich course
Indian Fast Food	relating to India or its people, customs, or languages relating to or denoting indigenous peoples of North, Central, and South America, especially those of North America [SEP] moving or capable of moving at high speed (of a clock or watch) showing a time ahead of the correct time firmly fixed or attached (of a film) needing only a short exposure (of a dye) not fading in light or when washed engaging in or involving activities characterized by excitement, extravagance, and risk-taking (of a person) prone to act in an unacceptably familiar way [SEP] any nutritious substance that people or animal
main course	the most substantial course of a meal the mainsail of a square-rigged sailing ship.
snapple	To sniff or snort; to make any of various snuffling and slobbering noises like those of an animal eating greedily. Hence: to eat greedily (also figurative). To consume or use rapidly or in large amounts; to eat greedily; to grab or snatch.
people serving	human beings in general or considered collectively the members of a particular nation, community, or ethnic group the supporters or employees of a person in a position of power or authority [SEP] a quantity of food suitable for or served to one person
fillings	a quantity of soft material that fills or is used to fill something
mussaman curry	a follower of the religion of Islam; a Muslim. [SEP] a dish of meat, vegetables, etc., cooked in an Indian-style sauce of hot-tasting spices and typically served with rice
Gnochi	(in Italian cooking) small dumplings made from potato, semolina, or flour, usually served with a sauce.
lunch buffet	a meal eaten in the middle of the day, typically one that is lighter or less formal than an evening meal [SEP] a meal consisting of several dishes from which guests serve themselves a room or counter in a station, hotel, or other public building selling light meals or snacks. a cabinet with shelves and drawers for keeping dinnerware and table linens; a sideboard.
serve	perform duties or services for (another person or an organization) present (food or drink) to someone deliver (a document such as a summons or writ) in a formal manner to the person to whom it is addressed be of use in achieving or satisfying (in tennis and other racket sports) hit the ball or shuttlecock to begin play for each point of a game bind (a rope) with thin cord to protect or strengthen it. operate (a gun)
drumsticks over rice	a stick, typically with a shaped or padded head, used for beating a drum. the lower joint of the leg of a cooked chicken, turkey, or other fowl [SEP] extending directly upwards from at a higher level or layer than higher or more than (a specified number or quantity) expressing passage or trajectory across expressing duration expressing the medium by which something is done; by means of on the subject of no longer affected by [SEP] a swamp grass which is widely cultivated as a source of food, especially in Asia.
whitefish salad	a mainly freshwater fish of the salmon family, widely used as food. [SEP] a cold dish of various mixtures of raw or cooked vegetables, usually seasoned with oil, vinegar, or other dressing and sometimes accompanied by meat, fish, or other ingredients
staff member	a person, animal, or plant belonging to a particular group a constituent piece of a complex structure, especially a component of a load-bearing structure a part of the body, especially a limb.
upstairs	on or to an upper floor of a building
red curry	Any of various curry dishes having a reddish colour; specifically a type of Thai curry which takes its colour from a seasoning mixture containing red chillies.
Saul	(in the Bible) the first king of Israel (11th century BC).
pad penang	A penny which is debased or counterfeit. In later use chiefly in the proverb "a bad penny always returns (also turns up)", and (now especially) in similative or figurative use in allusion to this, with reference to the predictable, and often unwanted, return of a disreputable or prodigal person after some absence, or (more generally) to the continual recurrence of someone or something.
walls	The iron or ironclad ships of the Royal Navy, considered as Britain's defences.
hanger steak	a person who hangs something a shaped piece of wood, plastic, or metal with a hook at the top, from which clothes may be hung in order to keep them in shape. [SEP] high-quality beef taken from the hindquarters of the animal, typically cut into thick slices that are cooked by grilling or frying
lunch food	a meal eaten in the middle of the day, typically one that is lighter or less formal than an evening meal [SEP] any nutritious substance that people or animals eat or drink or that plants absorb in order to maintain life and growth
barebecued salmon	a meal or gathering at which meat, fish, or other food is cooked out of doors on a rack over an open fire or on a special appliance [SEP] a large edible fish that is a popular sporting fish, much prized for its pink flesh. Salmon mature in the sea but migrate to freshwater streams to spawn. any of a number of fishes resembling the salmon. a pale pink colour
chai tea	tea made by boiling tea leaves with milk, sugar, and sometimes spices. [SEP] a hot drink made by infusing the dried crushed leaves of the tea plant in boiling water the evergreen shrub or small tree which produces tea leaves, native to southern and eastern Asia and grown as a major cash crop. a light afternoon meal consisting typically of tea to drink, sandwiches, and cakes secret information or rumours of a scandalous nature; gossip
Spicy Tuna hand rolls	flavoured with or fragrant with spice exciting or entertaining, especially through being mildly indecent [SEP] a large and active predatory schooling fish of warm seas, extensively fished commercially and popular as a game fish. [SEP] the end part of a person's arm beyond the wrist, including the palm, fingers, and thumb a pointer on a clock or watch indicating the passing of units of time used in reference to the power to direct something a person's workmanship, especially in artistic work a person who engages in manual labour, especially in a factory, on a farm, or on board a ship the set of
meat dishes	search thoroughly
Manager	a person responsible for controlling or administering an organization or group of staff a person regarded in terms of their skill in managing resources, especially those of a household a program or system that controls or organizes a peripheral device or process (in the Houses of Parliament and the US Senate) a member of a committee appointed by one house to confer with a similar committee of the other house.
prix fix	a meal consisting of several courses served at a total fixed price
Thali	a set meal at an Indian restaurant.
chef app	a professional cook, typically the chief cook in a restaurant or hotel. [SEP] an application, especially as downloaded by a user to a mobile device an application or application form
makhani	denoting an Indian dish cooked in a rich sauce made with butter or ghee, onions, tomatoes, and cream
duck confit	a waterbird with a broad blunt bill, short legs, webbed feet, and a waddling gait. a pure white thin-shelled bivalve mollusc found off the Atlantic coasts of America. an amphibious transport vehicle [SEP] duck or other meat cooked very slowly in its own fat.
Gulab Jamun (dessert)	an Indian sweet consisting of a ball of deep-fried paneer boiled in a sugar syrup [SEP] a large evergreen Asian tree of the myrtle family, which yields edible fruit, tanbark, and fuelwood. [SEP] the sweet course eaten at the end of a meal
2-person table	used as a neutral alternative to -man in nouns denoting professional status, a position of authority, etc. [SEP] a piece of furniture with a flat top and one or more legs, providing a level surface for eating, writing, or working at a set of facts or figures systematically displayed, especially in columns a flat, typically rectangular, vertical surface; a panel.
case of snapple	an instance of a particular situation; an example of something occurring an instance of a disease, injury, or problem a legal action, especially one to be decided in a court of law any of the forms of a noun, adjective, or pronoun that express the semantic relation of the word to other words in the sentence [SEP] expressing the relationship between a part and a whole. expressing the relationship between a scale or measure and a value indicating an association between two entities, typically one of belonging, in which the first is the head of the phrase and the second is something associated wi
dimsum	a Chinese dish of small steamed or fried savoury dumplings containing various fillings.
sushimi cucumber roll	a Japanese dish of bite-sized pieces of raw fish eaten with soy sauce and wasabi paste [SEP] a long, green-skinned fruit with watery flesh, usually eaten raw in salads or pickled. the climbing plant of the gourd family that yields cucumbers, native to the Chinese Himalayan region. It is widely cultivated but very rare in the wild. [SEP] move in a particular direction by turning over and over on an axis (of a vehicle) move or run on wheels turn (something flexible) over and over on itself to form a cylinder, tube, or ball flatten (something) by passing a roller over it or by passing it between 
salt	a white crystalline substance that gives seawater its characteristic taste and is used for seasoning or preserving food. any chemical compound formed from the reaction of an acid with a base, with all or part of the hydrogen of the acid replaced by a metal or other cation. an experienced sailor
potato chips	a wafer-thin slice of potato fried or baked until crisp and eaten as a snack; a crisp.
pasta entre'es	a dish originally from Italy consisting of dough made from durum wheat, extruded or stamped into various shapes and cooked in boiling water, and typically served with a sauce [SEP] a light dish served between two courses of a formal meal.
oyster	any of a number of bivalve molluscs with rough irregular shells. Several kinds are eaten (especially raw) as a delicacy and may be farmed for food or pearls. a shade of greyish white. an oyster-shaped morsel of meat on each side of the backbone in poultry.
maitre d'	the Buddha who will appear in the future.
sushi bar chef	a Japanese dish consisting of small balls or rolls of vinegar-flavoured cold rice served with a garnish of vegetables, egg, or raw seafood. [SEP] a long rigid piece of wood, metal, or similar material, typically used as an obstruction, fastening, or weapon a counter in a pub, restaurant, or cafe across which drinks or refreshments are served a barrier or restriction to an action or advance any of the short sections or measures, typically of equal time value, into which a piece of music is divided, shown on a score by vertical lines across the stave a partition in a court room, now usually noti
Pad See Ew	a thick piece of soft material, typically used to protect or shape something, or to absorb liquid the fleshy underpart of an animal's foot or of a human finger a number of sheets of blank paper fastened together at one edge, used for writing or drawing a flat-topped structure or area used for helicopter take-off and landing or for rocket-launching a person's home a flat area on a track of a printed circuit or on the edge of an integrated circuit to which wires or component leads can be attached to make an electrical connection. [SEP] perceive with the eyes; discern visually discern or deduce a
CUISINE	a style or method of cooking, especially as characteristic of a particular country, region, or establishment
drink refills	take (a liquid) into the mouth and swallow [SEP] fill (a container) again
business dinner	a person's regular occupation, profession, or trade commercial activity (in Aboriginal English) traditional law and ritual. a situation or series of events, typically a scandalous or discreditable one actions on stage other than dialogue. a very enjoyable or popular person or thing a group of ferrets [SEP] the main meal of the day, taken either around midday or in the evening
LOBSTER TAILS	the spray of water thrown up behind a speedboat or surfboard.
Pho	a type of Vietnamese soup, typically made from beef stock and spices to which noodles and thinly sliced beef or chicken are added.
portraits	a painting, drawing, photograph, or engraving of a person, especially one depicting only the face or head and shoulders a format of printed matter or screen display that is higher than it is wide
deli	not found
pork buns	a Chinese snack consisting of steamed or baked bread dough filled with barbecued pork.
slice	a thin, broad piece of food, such as bread, meat, or cake, cut from a larger portion a utensil with a broad, flat blade for lifting foods such as cake and fish. a stroke that makes the ball curve away to the right (for a left-handed player, the left), typically inadvertently.
Lobster Bisque	a large marine crustacean with a cylindrical body, stalked eyes, and the first of its five pairs of limbs modified as pincers. [SEP] a rich shellfish soup, typically made from lobster.
Ingredients	any of the foods or substances that are combined to make a particular dish
ingrediants	any of the foods or substances that are combined to make a particular dish
surroundings	the things and conditions around a person or thing
oysters	any of a number of bivalve molluscs with rough irregular shells. Several kinds are eaten (especially raw) as a delicacy and may be farmed for food or pearls. a shade of greyish white. an oyster-shaped morsel of meat on each side of the backbone in poultry.
tiramisu chocolate cake	an Italian dessert consisting of layers of sponge cake soaked in coffee and brandy or liqueur with powdered chocolate and mascarpone cheese. [SEP] a food in the form of a paste or solid block made from roasted and ground cacao seeds, typically sweetened and eaten as confectionery [SEP] an item of soft sweet food made from a mixture of flour, fat, eggs, sugar, and other ingredients, baked and sometimes iced or decorated an item of savoury food formed into a flat round shape, and typically baked or fried
counter service	time spent teaching in a rural school, formerly required of every state teacher
decore	the furnishing and decoration of a room
cater	provide people with food and drink at a social event or other gathering
mango chicken	a fleshy, oval, yellowish-red tropical fruit that is eaten ripe or used green for pickles or chutneys. the evergreen tropical Indian tree that bears the mango. a tropical American hummingbird that typically has green plumage with purple feathers on the wings, tail, or head. [SEP] a domestic fowl kept for its eggs or meat, especially a young one a cowardly person; a coward.
garlic mashed potatoes	a strong-smelling pungent-tasting bulb, used as a flavouring in cooking and in herbal medicine the central Asian plant, closely related to the onion, which produces garlic. [SEP] (of a food or other substance) reduced to a pulpy mass by crushing very drunk [SEP] mashed potatoes mixed with egg yolk, formed into small shapes and baked.
lamb meat	an electrical device with a bulb that emits mainly heat rather than light, used as a heat source.
pad thai	a Thai dish based on rice noodles.
oil	a viscous liquid derived from petroleum, especially for use as a fuel or lubricant. oil paint information or facts
Lassi	a sweet or savoury Indian drink made from a yogurt or buttermilk base with water.
Taxan	Any of a class of tricyclic terpenoid compounds isolated from certain trees and shrubs of the genus Taxus (the yews), or prepared synthetically; (also) a hydrocarbon having the C₂₀ molecular skeleton present in these compounds.
Southern Indian cuisine	situated in the south or directed towards or facing the south living in or originating from the south [SEP] relating to India or its people, customs, or languages relating to or denoting indigenous peoples of North, Central, and South America, especially those of North America [SEP] a style or method of cooking, especially as characteristic of a particular country, region, or establishment
Staffs	Staffordshire.
